"id","issue_title"
23738971177,a validator should govern the annotations required by PipelineRuns
23536552504,Add detailed docstrings and function annotations for utility functions in `ai` module
22758096014,Curves and StaveTies are lining up with annotations in stead of noteheads
22672664764,add templated Service annotations
22725270751,Remove `NOLINT` annotation from the  end of `base/glog_wapper.h` include statement
22907108012,HMDOpApp Mousepad to have button annotations
23067406949,Adyen/Config ctor has bad annotation for $params
22996890798,Update KR table with germline annotation software and versions
22938786257,Update documentation for `sce_to_anndata` to include note about conversion of string annotations to categoricals
22785764642,Demo annotation occurred in my own json file.
22668348604,"4k annotation check"
22679567666,Head data annotation by faisal
22679576101,Head data annotation and update activity annotation
24181972539,Locking an annotation
23993291933,Make organism annotation list dynamically generated
24035427079,Deafness gene annotation highlighted when no results found for gene search
23847961666,"Document 3D annotation features in existing 3D collections, tools, and resources"
23952352883,[Bug]: `annotationType` is not set for nested annotations
23835667634,UTRannotator ignores consequences containing 5_prime_UTR_variant
23810439131,Exception in Chunker annotator
23983312727,Type hole usage inside type annotation syntax
23976991300,Is it possible to add annotations to edges of a SimpleDiGraph?
24146625969,[BUG] Crash on annotate with Unitful
24137187914,add JPA annotations to person model 
23853536329,arch/powerpc/platforms/85xx/mpc85xx_cds.c:161:3: warning: unannotated fall-through between switch labels
24175303462,Add __access() annotations to function prototypes
21632515139,Add the `ExperimentalTorApi` annotation to `SealedValueClass` to require opt-in
21900381593,Add custom annotations to Secrets
21892348346,Export file miss annotation information
21649151464,Add attribute to add additional mounts to `Mount` annotation
21819482477,Merge master branch of neuroglancer into countour annotations branch
19746887376,Grace note position is affected by other modifiers / annotations
19840279777,Don't mirror well known labels/annotations used for ownership tracking.
19569391957,Add stroke count control in annotation
19569432314,Enable sharing of video and annotation/ graphs
19863116723,Make video and annotations/statistics extractable/shareable.
19863125537,Bug: sometimes pool config changes back to default (50m/100m) while annotating
19584263815,gt json annotations different from idmaps
19769730864,Hello! I want to find a tool in order to annotate a 3D model (it's a .ply format) for making synthetic training data. Which tool did you use?
19637955549,Function declarations with explicit type annotations compile to the wrong Erlang code
19946722033,`annotate_in_place` generates extra newlines for each existing spec in the files
25591957363,Make static type annotations available for the library
25819907429,Add conflict with `doctrine/annotations` 1.14.0
25708968002,Error when preparing COCO annotation file from a single YOLO annotation file
26031582659,remove spurious annotation_app/static/ files
25760357792,New annotations for running
25592377976,Option to anonymize annotator identities in exports
25592676903,"When exporting documents & annotations, export annotator PK/ID instead of username so that they are anonymised"
25888986446,"Message ""t.currentAnnotationTask is null"" after completing last annotation"
25940611147,Client: Allow to pass custom labels/annotations to the `beiboot` object for `create` and `read_all` (as filter)
25830688786,GKE errors on .managedAlertmanager field when adding labels/annotations to OperatorConfig
25655737422,Adding models and props annotations
25781284854,"[js] annotation/metadatas parsing : improve, using masks ?"
25758973065,Type annotation
